"","nlc2022_7class","T_MAPCODE","n"
"841","4","FFc1",22760
"842","5","FFc1",869561
"843","6","FFc1",495
"844","7","FFc1",52467
"845","8","FFc1",311161
"846","NaN","FFc1",0
"847","1","FFd1",2761303
"848","2","FFd1",304049
"849","3","FFd1",1
"850","4","FFd1",1086
"851","5","FFd1",176197
"852","6","FFd1",4418
"853","7","FFd1",3
"854","8","FFd1",5385
"855","NaN","FFd1",0
"856","1","FFd10",32952
"857","2","FFd10",20923
"858","3","FFd10",315
"859","4","FFd10",24033
"860","5","FFd10",13419
"861","6","FFd10",61
"862","7","FFd10",246006
"863","8","FFd10",41488
"864","NaN","FFd10",0
"865","1","FFd11",67229
"866","2","FFd11",4747
"867","3","FFd11",167
"868","4","FFd11",3703
"869","5","FFd11",31998
"870","6","FFd11",605
"871","7","FFd11",258
"872","8","FFd11",82818
"873","NaN","FFd11",0
"874","1","FFd2",1848733
"875","2","FFd2",862315
"876","3","FFd2",3583
"877","4","FFd2",24081
"878","5","FFd2",2350146
"879","6","FFd2",1042
"880","7","FFd2",5596
"881","8","FFd2",43656
"882","NaN","FFd2",0
"883","1","FFd3",1495163
"884","2","FFd3",393821
"885","3","FFd3",2363
"886","4","FFd3",19773
"887","5","FFd3",510094
"888","6","FFd3",274
"889","7","FFd3",1914
"890","8","FFd3",100579
"891","NaN","FFd3",0
"892","1","FFd4",514413
"893","2","FFd4",373813
"894","3","FFd4",2545
"895","4","FFd4",56210
"896","5","FFd4",450774
"897","6","FFd4",3817
"898","7","FFd4",8340
"899","8","FFd4",312697
"900","NaN","FFd4",0
"901","1","FFd5",147773
"902","2","FFd5",130246
"903","3","FFd5",4238
"904","4","FFd5",864579
"905","5","FFd5",158153
"906","6","FFd5",3821
"907","7","FFd5",9132
"908","8","FFd5",74392
"909","NaN","FFd5",0
"910","1","FFd6",87185
"911","2","FFd6",13733
"912","3","FFd6",263
"913","4","FFd6",74879
"914","5","FFd6",1582
"915","6","FFd6",158
"916","7","FFd6",2295
"917","8","FFd6",41357
"918","NaN","FFd6",0
"919","1","FFd7",238297
"920","2","FFd7",56756
"921","3","FFd7",926
"922","4","FFd7",5295
"923","5","FFd7",255391
"924","6","FFd7",173
"925","7","FFd7",1200
"926","8","FFd7",60574
"927","NaN","FFd7",0
"928","1","FFd8",101248
"929","2","FFd8",21046
"930","3","FFd8",89194
"931","4","FFd8",1826
"932","5","FFd8",21864
"933","6","FFd8",1342
"934","7","FFd8",395
"935","8","FFd8",7300
"936","NaN","FFd8",0
"937","1","FFd9",558974
"938","2","FFd9",201632
"939","3","FFd9",165
"940","4","FFd9",14027
"941","5","FFd9",408666
"942","6","FFd9",306
"943","7","FFd9",8071
"944","8","FFd9",101384
"945","NaN","FFd9",0
"946","1","FFf1",378131
"947","2","FFf1",245878
"948","3","FFf1",5051
"949","4","FFf1",22928
"950","5","FFf1",863983
"951","6","FFf1",566
"952","7","FFf1",12830
"953","8","FFf1",205637
"954","NaN","FFf1",0
"955","1","FFf2",34403
"956","2","FFf2",21927
"957","3","FFf2",111
"958","4","FFf2",377
"959","5","FFf2",30125
"960","6","FFf2",8
"961","7","FFf2",482
"962","8","FFf2",14037
"963","NaN","FFf2",0
"964","1","FFg1",160004
"965","2","FFg1",314
"966","3","FFg1",0
"967","4","FFg1",413
"968","5","FFg1",1261
"969","6","FFg1",0
"970","7","FFg1",0
"971","8","FFg1",52
"972","NaN","FFg1",0
"973","1","FFg2",465291
"974","2","FFg2",180694
"975","3","FFg2",21360
"976","4","FFg2",96245
"977","5","FFg2",212437
"978","6","FFg2",258
"979","7","FFg2",100061
"980","8","FFg2",233627
"981","NaN","FFg2",0
"982","1","FFg3",51454
"983","2","FFg3",21125
"984","3","FFg3",211
"985","4","FFg3",102347
"986","5","FFg3",10279
"987","6","FFg3",0
"988","7","FFg3",17494
"989","8","FFg3",26579
"990","NaN","FFg3",0
"991","1","FFg4",27698
"992","2","FFg4",2802
"993","3","FFg4",91
"994","4","FFg4",6
"995","5","FFg4",4100
"996","6","FFg4",0
"997","7","FFg4",0
"998","8","FFg4",7638
"999","NaN","FFg4",0
"1000","1","FFg5",226819
"1001","2","FFg5",153651
"1002","3","FFg5",4865
"1003","4","FFg5",127873
"1004","5","FFg5",471628
"1005","6","FFg5",1661
"1006","7","FFg5",41683
"1007","8","FFg5",217376
"1008","NaN","FFg5",0
"1009","1","FFh1",482568
"1010","2","FFh1",159879
"1011","3","FFh1",28868
"1012","4","FFh1",8962
"1013","5","FFh1",369117
"1014","6","FFh1",81
"1015","7","FFh1",6037
"1016","8","FFh1",14431
"1017","NaN","FFh1",0
"1018","1","FFh10",599420
"1019","2","FFh10",6797
"1020","3","FFh10",49
"1021","4","FFh10",447
"1022","5","FFh10",5170
"1023","6","FFh10",0
"1024","7","FFh10",835
"1025","8","FFh10",95451
"1026","NaN","FFh10",0
"1027","1","FFh11",8737
"1028","2","FFh11",3920
"1029","3","FFh11",35
"1030","4","FFh11",11968
"1031","5","FFh11",0
"1032","6","FFh11",1
"1033","7","FFh11",2232
"1034","8","FFh11",4680
"1035","NaN","FFh11",0
"1036","1","FFh2",253183
"1037","2","FFh2",8395
"1038","3","FFh2",148
"1039","4","FFh2",101
"1040","5","FFh2",4484
"1041","6","FFh2",5
"1042","7","FFh2",0
"1043","8","FFh2",19
"1044","NaN","FFh2",0
"1045","1","FFh3",153974
"1046","2","FFh3",17914
"1047","3","FFh3",576
"1048","4","FFh3",569
"1049","5","FFh3",9102
"1050","6","FFh3",52
"1051","7","FFh3",391
"1052","8","FFh3",5239
"1053","NaN","FFh3",0
"1054","1","FFh4",411347
"1055","2","FFh4",84934
