"","T_MAPCODE","niaps_ch1","niaps_ch2","niaps_ch4","niaps_ch3","niaps_ch6","niaps_ch5","niaps_ch7","niaps_ch8","niaps_ch9","niaps_ch10","sum_rem","niaps_ext50","niaps_ext70","niaps_ext90","YEAR"
"219","Gd5",0.8056,2.8252,1.3988,0.0608,0.1308,2.45,1.9816,0.6636,0.2184,4.8736,1116.0928,0.0138056620381388,0.0105525275317608,0.00924475097411255,2023
"220","Gd6",0.0076,0,0.0328,0,0,0,0,0.0056,0,0.1196,21.5476,0.0076853106610481,0.00733260316694203,0.0058103918765895,2023
"221","Gd7",2.246,11.27,0.4936,0.1468,0.0288,0.0264,0.0164,0.008,0,0.274,1345.922,0.0107807138898094,0.000738527195483839,0.000262719533524231,2023
"222","Gd8",3.1328,9.35,0.74,1.0464,0.524,1.8408,0.808,0.3608,0.012,0.584,17291.3664,0.00106404546490901,0.000342136061612806,0.000238824388106194,2023
"223","Gh1",80.6164,33.7784,8.9008,34.4984,9.086,4.5276,3.7348,4.1268,0.7988,0.9856,8138.5332,0.0222464657390597,0.00819051767215252,0.00285795971195399,2023
"224","Gh10",62.1148,38.0052,19.2348,14.9804,3.7752,27.968,4.604,0.5872,0.6604,1.7784,5813.4168,0.0298806030904235,0.0126583732995026,0.00677281560131728,2023
"225","Gh11",0.8752,0.0128,7.5152,0.232,0.1796,0.4244,2.718,0.2744,0.0008,0,416.9716,0.0293362905291392,0.027206649085933,0.00862696644087991,2023
"226","Gh12",1.9684,0.7676,0,0.4,0,0,0.7576,0.0208,0,0,221.1288,0.0177019004308801,0.00532902091450774,0.00352012040041822,2023
"227","Gh13",62.6164,16.8216,4.1516,3.3084,1.5448,0.2832,3.0164,0.2592,0.6276,0.7544,2123.7648,0.0439707824519928,0.00656645217963873,0.00305382215582441,2023
"228","Gh14",33.5456,27.342,7.9288,10.1336,0.3552,1.9592,2.4304,0,0.006,0,3675.5048,0.0227725998344499,0.00620682089709147,0.00129255714752433,2023
"229","Gh15",16.6456,29.7804,2.3184,10.4456,2.1216,1.3952,3.19,2.1256,1.0256,4.4308,5468.9772,0.0134355652460939,0.0049465922074058,0.00261270059783756,2023
"230","Gh2",18.0368,16.0988,5.9248,8.006,3.7804,4.0708,6.6028,3.4616,0.6656,3.432,5660.4316,0.0123806106940679,0.00635004581629429,0.00388896140004589,2023
"231","Gh3",27.984,15.5296,7.4572,2.1688,2.1304,1.7896,1.0744,0.44,0.2408,0.9128,12357.1816,0.00483343224477659,0.00131211149312558,0.000533131276471651,2023
"232","Gh4",24.9904,14.3916,2.6676,3.6692,2.5972,2.9576,2.8924,2.1168,1.4288,1.1804,9249.242,0.00636722447093502,0.00210936204285713,0.00142424644095159,2023
"233","Gh5",6.4872,2.5612,0.6336,1.1356,0.2552,0.4432,0.7556,0.1768,0.03,0.436,2576.7764,0.00501184348009396,0.0015003242035281,0.000813729899109601,2023
"234","Gh6",25.212,23.4288,14.424,11.382,1.4124,3.0728,6.2492,5.9068,0.9692,7.084,10488.0812,0.00945274908817449,0.00481502755718558,0.00235452029109004,2023
"235","Gh7",4.5932,1.3204,1.7496,1.3796,0.9784,1.0736,0.074,0.034,0,0.1892,1286.1452,0.00885747581221778,0.00425955016587552,0.00182654337939449,2023
"236","Gh8",0.044,0.1576,0.0424,0,0.3956,0.5988,0,0,0,0,66.1308,0.0187265237982907,0.0156780199241503,0.0150368663315732,2023
"237","Gh9",1.0848,0.6248,0.4212,0.4304,0,0,0,0,0,0,5306.9972,0.000482608131016161,0.000160467391993348,0,2023
"238","Gm1",15.6748,12.7028,4.2608,4.9008,2.1916,1.1956,3.2316,4.7192,0.202,0.7996,2813.2064,0.017730231240765,0.00764295147345037,0.00438631164780515,2023
"239","Gm10",7.84,13.0476,3.5408,3.5424,2.5616,0.6696,0.8696,1.528,1.1164,0.7308,183.1432,0.193546907556491,0.0794962630335169,0.0408205164046495,2023
