"","...1","LC","T_MAPCODE","n","km2","mapwaps"
"365",5547,3,"Gd4",8,0.0032,8
"366",5548,4,"Gd4",2883,1.1532,8
"367",5549,5,"Gd4",613,0.2452,8
"368",5551,7,"Gd4",142054,56.8216,8
"369",5553,1,"Gd5",13356,5.3424,8
"370",5554,2,"Gd5",154,0.0616,8
"371",5556,4,"Gd5",28,0.0112,8
"372",5559,7,"Gd5",149,0.0596,8
"373",5561,1,"Gd6",746,0.2984,8
"374",5562,2,"Gd6",2,8e-04,8
"375",5569,1,"Gd7",3626,1.4504,8
"376",5577,1,"Gd8",8051,3.2204,8
"377",5578,2,"Gd8",7,0.0028,8
"378",5579,3,"Gd8",1,4e-04,8
"379",5580,4,"Gd8",3,0.0012,8
"380",5817,1,"Gm22",8001,3.2004,8
"381",5818,2,"Gm22",14291,5.7164,8
"382",5819,3,"Gm22",19,0.0076,8
"383",5820,4,"Gm22",3244,1.2976,8
"384",5821,5,"Gm22",2480,0.992,8
"385",5822,6,"Gm22",4,0.0016,8
"386",5823,7,"Gm22",491679,196.6716,8
"387",5825,1,"Gm23",30467,12.1868,8
"388",5826,2,"Gm23",35897,14.3588,8
"389",5827,3,"Gm23",21,0.0084,8
"390",5828,4,"Gm23",4384,1.7536,8
"391",5829,5,"Gm23",2216,0.8864,8
"392",5830,6,"Gm23",1,4e-04,8
"393",5831,7,"Gm23",654610,261.844,8
"394",5833,1,"Gm24",364,0.1456,8
"395",5834,2,"Gm24",46,0.0184,8
"396",5836,4,"Gm24",1,4e-04,8
"397",5839,7,"Gm24",21,0.0084,8
"398",5865,1,"Gm28",6062,2.4248,8
"399",5866,2,"Gm28",147,0.0588,8
"400",5869,5,"Gm28",72,0.0288,8
"401",5871,7,"Gm28",1160,0.464,8
"402",5897,1,"Gm31",4053,1.6212,8
"403",5898,2,"Gm31",12900,5.16,8
"404",5899,3,"Gm31",8,0.0032,8
"405",5900,4,"Gm31",69,0.0276,8
"406",5901,5,"Gm31",593,0.2372,8
"407",5903,7,"Gm31",349037,139.6148,8
"408",5905,1,"Gm4",967,0.3868,8
"409",5906,2,"Gm4",309,0.1236,8
"410",5908,4,"Gm4",15,0.006,8
"411",5909,5,"Gm4",8,0.0032,8
"412",5911,7,"Gm4",549,0.2196,8
"413",5913,1,"Gm5",1365,0.546,8
"414",5914,2,"Gm5",693,0.2772,8
"415",5916,4,"Gm5",12,0.0048,8
"416",5919,7,"Gm5",5,0.002,8
"417",5961,1,"Gs10",590714,236.2856,8
"418",5962,2,"Gs10",106376,42.5504,8
"419",5963,3,"Gs10",115,0.046,8
"420",5964,4,"Gs10",13292,5.3168,8
"421",5965,5,"Gs10",16938,6.7752,8
"422",5966,6,"Gs10",1,4e-04,8
"423",5967,7,"Gs10",340414,136.1656,8
"424",5977,1,"Gs12",665946,266.3784,8
"425",5978,2,"Gs12",130365,52.146,8
"426",5979,3,"Gs12",1135,0.454,8
"427",5980,4,"Gs12",14671,5.8684,8
"428",5981,5,"Gs12",37334,14.9336,8
"429",5983,7,"Gs12",588945,235.578,8
"430",5985,1,"Gs13",3374,1.3496,8
"431",5986,2,"Gs13",1091,0.4364,8
"432",5987,3,"Gs13",157,0.0628,8
"433",5988,4,"Gs13",311,0.1244,8
"434",5989,5,"Gs13",429,0.1716,8
"435",5991,7,"Gs13",2164,0.8656,8
"436",5993,1,"Gs14",8006,3.2024,8
"437",5994,2,"Gs14",1790,0.716,8
"438",5995,3,"Gs14",2,8e-04,8
"439",5996,4,"Gs14",623,0.2492,8
"440",5997,5,"Gs14",930,0.372,8
"441",5999,7,"Gs14",26515,10.606,8
"442",6033,1,"Gs19",6891,2.7564,8
"443",6034,2,"Gs19",5309,2.1236,8
"444",6036,4,"Gs19",505,0.202,8
"445",6037,5,"Gs19",310,0.124,8
"446",6049,1,"Gs20",2479,0.9916,8
"447",6050,2,"Gs20",1576,0.6304,8
"448",6052,4,"Gs20",1122,0.4488,8
"449",6053,5,"Gs20",180,0.072,8
"450",6055,7,"Gs20",1307,0.5228,8
"451",6057,1,"Gs3",38372,15.3488,8
"452",6058,2,"Gs3",2832,1.1328,8
"453",6060,4,"Gs3",205,0.082,8
"454",6061,5,"Gs3",35,0.014,8
"455",6063,7,"Gs3",1653,0.6612,8
"456",6065,1,"Gs4",43213,17.2852,8
"457",6066,2,"Gs4",12285,4.914,8
"458",6067,3,"Gs4",895,0.358,8
"459",6068,4,"Gs4",3701,1.4804,8
