"","T_MAPCODE","prpinv_niaps","D3_niaps","B1i_niaps","B2i_niaps","prpinv_cfs_iat","D3_cfr_iat","B1i_cfr_iat","B2i_cfr_iat","prpinv_mapwaps","D1_mapwaps","B1i_mapwaps","B2i_mapwaps","prpinv_umgeni","D1_um","B1i_um","B2i_um","prpinv_max","D3_inv","B1i_inv","B2i_inv"
"269","Gs11",0.0824362590690387,1,1,1,NA,0,0,0,NA,0,0,0,0.00000744568373713758,1,1,1,0.0824362590690387,1,1,1
"270","Gs12",0.0699559224568994,1,1,1,NA,0,0,0,0.0566993693599348,1,1,1,NA,0,0,0,0.0699559224568994,1,1,1
"271","Gs13",0.0094451608725915,1,1,1,NA,0,0,0,0.00910253435707618,1,1,1,NA,0,0,0,0.0094451608725915,1,1,1
"272","Gs14",0.03563138162504,1,1,1,NA,0,0,0,0.00149935005066814,1,1,1,NA,0,0,0,0.03563138162504,1,1,1
"273","Gs15",0.0299812244506089,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0299812244506089,1,1,1
"274","Gs16",0.00596331814429807,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00596331814429807,1,1,1
"275","Gs17",0.0104063518959486,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0104063518959486,1,1,1
"276","Gs18",0.00105471710929638,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00105471710929638,1,1,1
"277","Gs19",0.148237349031446,1,1,1,NA,0,0,0,0.00206526241210422,1,1,1,0.000906605542971304,1,1,1,0.148237349031446,1,1,1
"278","Gs2",0.0132913557749343,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0132913557749343,1,1,1
"279","Gs20",0.155142142579341,1,1,1,NA,0,0,0,0.00043924267404703,1,1,1,0.000197916122190614,1,1,1,0.155142142579341,1,1,1
"280","Gs3",0.0721490088313049,1,1,1,NA,0,0,0,0.00981449348906113,1,1,1,NA,0,0,0,0.0721490088313049,1,1,1
"281","Gs4",0.0366559900823252,1,1,1,NA,0,0,0,0.0040738829063878,1,1,1,NA,0,0,0,0.0366559900823252,1,1,1
