"","nlc2022_7class","T_MAPCODE","niaps_arc","n"
"403","3","AZa7","0",58353
"404","4","AZa7","0",39037
"405","5","AZa7","0",706408
"406","6","AZa7","0",4598
"407","7","AZa7","0",53337
"408","NaN","AZa7","0",1244
"409","1","AZd1","0",793
"410","2","AZd1","0",1448
"411","3","AZd1","0",166
"412","4","AZd1","0",0
"413","5","AZd1","0",0
"414","6","AZd1","0",13694
"415","7","AZd1","0",0
"416","NaN","AZd1","0",0
"417","1","AZd2","0",23792
"418","2","AZd2","0",475
"419","3","AZd2","0",5
"420","4","AZd2","0",69
"421","5","AZd2","0",0
"422","6","AZd2","0",8699
"423","7","AZd2","0",0
"424","NaN","AZd2","0",0
"425","1","AZd3","0",537696
"426","2","AZd3","0",6027
"427","3","AZd3","0",324
"428","4","AZd3","0",6153
"429","5","AZd3","0",0
"430","6","AZd3","0",126
"431","7","AZd3","0",5
"432","NaN","AZd3","0",0
"433","1","AZd4","0",65569
"434","2","AZd4","0",2027
"435","3","AZd4","0",30
"436","4","AZd4","0",1721
"437","5","AZd4","0",0
"438","6","AZd4","0",361
"439","7","AZd4","0",372
"440","NaN","AZd4","0",54
"441","1","AZi1","0",2744847
"442","2","AZi1","0",136932
"443","3","AZi1","0",4765
"444","4","AZi1","0",13923
"445","5","AZi1","0",224338
"446","6","AZi1","0",5149
"447","7","AZi1","0",1528
"448","NaN","AZi1","0",0
"449","1","AZi3","0",4564325
"450","2","AZi3","0",31288
"451","3","AZi3","0",120
"452","4","AZi3","0",19674
"453","5","AZi3","0",287
"454","6","AZi3","0",265
"455","7","AZi3","0",248
"456","NaN","AZi3","0",2209
"457","1","AZi5","0",11684354
"458","2","AZi5","0",314975
"459","3","AZi5","0",62001
"460","4","AZi5","0",19744
"461","5","AZi5","0",420259
"462","6","AZi5","0",19728
"463","7","AZi5","0",1590
"464","NaN","AZi5","0",0
"465","1","AZi6","0",10821711
"466","2","AZi6","0",556355
"467","3","AZi6","0",108209
"468","4","AZi6","0",134857
"469","5","AZi6","0",1072999
"470","6","AZi6","0",3451
"471","7","AZi6","0",12250
"472","NaN","AZi6","0",0
"473","1","AZi7","0",4887384
"474","2","AZi7","0",215128
"475","3","AZi7","0",15257
"476","4","AZi7","0",11794
"477","5","AZi7","0",107104
"478","6","AZi7","0",487
"479","7","AZi7","0",809
"480","NaN","AZi7","0",0
"481","1","AZi8","0",344390
"482","2","AZi8","0",98458
"483","3","AZi8","0",3554
"484","4","AZi8","0",26184
"485","5","AZi8","0",525037
"486","6","AZi8","0",255
"487","7","AZi8","0",2823
"488","NaN","AZi8","0",0
"489","1","AZs3","0",24742
"490","2","AZs3","0",1449
"491","3","AZs3","0",10
"492","4","AZs3","0",821
"493","5","AZs3","0",1
"494","6","AZs3","0",0
"495","7","AZs3","0",199
"496","NaN","AZs3","0",0
"497","1","CB1","0",1897256
"498","2","CB1","0",519250
"499","3","CB1","0",8821
"500","4","CB1","0",1005934
"501","5","CB1","0",493457
"502","6","CB1","0",28913
"503","7","CB1","0",1578686
"504","NaN","CB1","0",110
"505","1","CB2","0",961251
"506","2","CB2","0",222510
"507","3","CB2","0",309
"508","4","CB2","0",269291
"509","5","CB2","0",27281
"510","6","CB2","0",2595
"511","7","CB2","0",1150444
"512","NaN","CB2","0",0
"513","1","CB3","0",993269
"514","2","CB3","0",966538
"515","3","CB3","0",21522
"516","4","CB3","0",3412510
"517","5","CB3","0",3653043
"518","6","CB3","0",13100
"519","7","CB3","0",142493
"520","NaN","CB3","0",0
