"","T_MAPCODE","niaps_ch1","niaps_ch2","niaps_ch3","niaps_ch4","niaps_ch6","niaps_ch5","niaps_ch7","niaps_ch8","niaps_ch9","niaps_ch10","sumrem_sa","niaps_ext30","niaps_ext50","niaps_ext70","niaps_ext90","D3_niaps","EOO","AOO","B1i_niaps","B2i_niaps"
"146","FFs28",15.3824,13.5204,2.2076,13.252,3.792,1.8032,5.4848,6.0608,1.2468,12.4752,3696.5036,0.0203503656806935,0.0161890279235762,0.0119341964119824,0.00683554048209232,"LC",10476.01296,102,"LC","LC"
"147","FFs29",0.8528,2.1188,3.512,5.2268,3.756,3.8036,1.9936,1.3384,0.3152,2.0876,131.6812,0.189888913527519,0.183412666348727,0.140651816660237,0.0435506359298062,"LC",445.7764344,8,"LC","LC"
"148","FFs3",1.3644,1.1852,0.1516,2.8628,0.1576,0.0616,0.8808,0.2328,0.0972,5.5072,469.3428,0.0266355422944594,0.0237284986581237,0.0208802606538334,0.014313631742087,"LC",2787.288284,25,"LC","LC"
"149","FFs30",0.0012,0,0,0,0,0,0,0,0,0,37.4804,0.000032016734079679,0,0,0,"LC",4707.702167,9,"LC","LC"
"150","FFs31",0.0896,0,0,0,0,0,0,0,0,0,50.79,0.00176412679661351,0,0,0,"LC",1118.08715,11,"LC","LC"
"151","FFs32",2.5292,1.624,1.6044,1.1624,0.3192,0.174,0.2276,0.0068,0.046,0.0056,354.3128,0.0217299516133767,0.0145916263821121,0.00547990363317385,0.000807196353053008,"LC",1307.54331,16,"LC","LC"
"152","FFs4",9.524,6.9852,3.6384,4.4836,3.096,2.3248,3.2632,1.3144,0.5084,1.6204,2232.7588,0.0164632202994788,0.0121976453524671,0.00743958550292132,0.00300363836881978,"LC",4973.867617,53,"LC","LC"
"153","FFs5",1.8216,2.6624,3.9428,1.5344,1.694,0.5988,1.4168,1.074,0.2204,1.9932,1051.0576,0.0161346057532908,0.0144014942663466,0.00811715742315169,0.00447587268290529,"LC",2233.630916,30,"LC","LC"
"154","FFs6",1.1864,0.3428,1.2556,1.9536,0.6432,1.412,3.0476,1.2232,0.9576,1.144,370.706,0.0355160153868564,0.0323156355710455,0.0280038628994405,0.0171899025103451,"LC",856.7413311,13,"LC","LC"
"155","FFs7",0.9084,1.5656,0.6072,0.1592,0.158,0.3072,0.1448,0.2204,0.0036,0.6856,371.0828,0.0128273258690513,0.0103793546884954,0.00452405770356373,0.00284141436897641,"LC",1029.757367,13,"LC","LC"
"156","FFs8",3.6876,0.39,1.0056,0.4976,0.6996,0.1656,0.2984,0.314,0.106,1.6012,315.7336,0.0277626454707386,0.0160831789838015,0.0116629969062526,0.00734669987609808,"LC",787.3268006,14,"LC","LC"
"157","FFs9",0.2728,0.2264,0,0.1924,0,0.25,0.176,0.0192,0,0.0004,203.276,0.00559436431256026,0.00425234656329326,0.00313858989747929,0.000962238532832208,"LC",488.4404375,12,"LC","LC"
"158","FFt1",0.388,0.646,0.166,0.0424,0.0396,0.4672,0.3476,1.6636,0.022,0.2392,395.7416,0.0101621866389584,0.00918174889877637,0.00712990496829244,0.00574213072368434,"LC",1202.115011,22,"LC","LC"
"159","FFt2",8.0388,4.9116,2.348,0.576,0,0.4256,0.9064,0.088,0.4156,1.4656,181.5708,0.10560949227519,0.0613358535623569,0.0213536537813349,0.0158373482960917,"LC",957.0193591,11,"LC","LC"
"160","FOa1",0.2336,0.3124,0.2072,0.2604,0.0092,0.1264,0.17,0.0056,0.036,0.0172,133.4168,0.0103285343375047,0.00857763040336749,0.00468306839918211,0.00171492645603852,"LC",78523.07413,34,"LC","LC"
"161","FOa2",0.2864,0.2704,0.1316,0.1816,0.0644,0.006,0.0044,0.0076,0.012,0.0016,72.8692,0.0132566296871655,0.00932629972608455,0.00380956563266785,0.000351314409929024,"LC",17901.17785,22,"LC","LC"
"162","FOa3",0.014,0.0308,0.0104,0.016,0,0,0.012,0,0,0,20.558,0.0040470862924409,0.00336608619515517,0.00136200019457146,0.000583714369102053,"LC",38231.9017,4,"LC","LC"
"163","FOz1",1.4892,2.4524,0.4444,1.4864,0.3364,0.5764,0.7856,0.7028,0.2468,3.3172,632.212,0.0187240988782244,0.0163685599134468,0.0117865526120985,0.0079916230631497,"LC",125260.6447,59,"LC","LC"
"164","FOz2",1.0548,2.0528,0.304,0.926,0.2368,0.1656,0.2044,0.112,0.0412,0.3356,182.4208,0.0297838842938963,0.0240016489347706,0.0110820695885557,0.00380000526255778,"LC",181409.8919,61,"LC","LC"
"165","FOz3",1.1352,1.6908,0.3888,0.7844,0.4188,0.4156,0.9036,0.8044,0.3156,1.9724,884.3512,0.00998426869325218,0.00870061577346195,0.00634906132314854,0.00451856683181976,"LC",151896.5129,183,"LC","LC"
"166","FOz4",0.5804,0.7324,0.266,0.3772,0.0592,0.0248,0.0988,0.0896,0.094,0.0984,288.9104,0.00837906838936916,0.00637014105411228,0.00291439837402876,0.00131805570169852,"LC",47077.72723,50,"LC","LC"
"167","FOz5",3.4588,1.828,0.9988,1.34,0.3892,0.408,0.8756,0.2672,0.1488,0.3808,946.1864,0.0106693564819786,0.00701383997909926,0.00402626797425962,0.00176751642171141,"LC",178728.6377,182,"LC","LC"
"168","FOz6",0.0492,0.0624,0.022,0.07,0.0184,0.0104,0.0524,0.2236,0.012,0.094,150.9288,0.00407079364574554,0.00374481212333233,0.00318560804829827,0.00253099474719205,"LC",51589.81548,14,"LC","LC"
"169","FOz7",0.9,1.176,0.7188,0.6136,0.364,0.2328,0.1904,0.1756,0.1404,0.1412,514.9484,0.00903546840809681,0.00728772047840133,0.00360812850374911,0.0012576017325231,"LC",25652.53,82,"LC","LC"
"170","FOz8",0.0668,0.1744,0.0496,0.0724,0,0.0424,0.0068,0.01,0.0024,0,244.2452,0.00173923581712148,0.00146574016602987,0.000548629000692746,0.0000786095284574681,"LC",4701.764351,33,"LC","LC"
"171","FRa1",0.8144,1.2356,1.0128,0.5048,2.118,0.3968,2.1488,2.0408,1.1516,9.4952,174.4068,0.119942571046542,0.115273028345225,0.102381329168358,0.0850677840542915,"LC",2225.363994,24,"LC","LC"
"172","FRa2",0.0428,0.0588,0.0992,2.1456,0.5992,0.0916,0.8532,0.6076,0.1564,1.0264,36.5332,0.155496917871963,0.154325380749565,0.150000547447253,0.0723615779619634,"LC",723.0662765,8,"LC","LC"
"173","FRc1",0.036,0.0212,0.0192,0.0612,0.1496,0.1808,0.4704,0.1928,0.0148,0.2476,12.802,0.108857990938916,0.106045930323387,0.102890173410405,0.0723012029370411,"LC",5168.441968,1,"LC","LC"
"174","FRc2",0.53,0.3652,0.0588,0.1752,0.0588,0.3088,0.3068,0.2192,0.07,0.12,28.494,0.0776584544114551,0.0590580473082052,0.0441777216256054,0.0251280971432582,"LC",6229.923698,10,"LC","LC"
"175","FRd1",1.8588,0.102,0.582,0.2596,0,0.2824,0,0,0,0,197.2376,0.0156400199556271,0.00621585336670087,0.0027479547510211,0,"LC",3622.143145,20,"LC","LC"
"176","FRd2",0.216,0.8896,0.0412,0.1324,0,0.0016,0.2784,0,0,0,565.3256,0.00275805659605721,0.00237597589778351,0.00072949111096331,0.000492459566663884,"LC",2005.234376,24,"LC","LC"
"177","FRg1",1.0164,1.0564,0.9904,0.1364,0,0,0.1216,0,0,0,252.788,0.013138281880469,0.00911752140133234,0.00102061806731332,0.000481035492191085,"LC",6593.15449,26,"LC","LC"
"178","FRg2",2.9884,6.1992,1.0264,3.9272,3.8296,1.5764,5.1316,4.2724,1.5316,7.5296,153.8836,0.247020475216332,0.22760060201347,0.18064563085345,0.119994593315987,"LC",3605.80829,29,"LC","LC"
"179","FRg3",0.0032,0.104,0,0.0232,0,0.0272,0.2192,0,0,0.0028,18.8332,0.0201558949089905,0.0199859822016439,0.0144638192128794,0.0117876940721704,"LC",25.58366204,1,"LC","LC"
"180","FRl1",1.3664,0.81,0.7136,0.4,1.3768,0.5256,2.346,2.6064,0.1928,0.8024,432.6812,0.0257464387174668,0.0225884554263046,0.0190671561417506,0.0137459173174152,"LC",1159.866766,19,"LC","LC"
"181","FRs1",6.6652,9.3228,2.0364,1.534,0.0012,0.0168,0.02,0.0072,0.0288,1.1272,196.0464,0.105891258395972,0.0718931844706151,0.0139517991659117,0.00603530592757633,"LC",2154.65089,20,"LC","LC"
"182","FRs10",0,0.0112,0,0.0256,0,0,0,0,0,0,2.5132,0.0146426866146745,0.0146426866146745,0.0101862167754258,0,"LC",44.58345309,1,"LC","LC"
"183","FRs11",1.1948,2.4136,1.248,1.466,1.1708,0.828,1.7784,3.9832,1.32,5.316,153.0492,0.13537346160581,0.127566821649509,0.103642488820588,0.0810040170089096,"LC",1846.579477,24,"LC","LC"
"184","FRs12",0.9724,3.1888,0.4208,1.652,1.5496,2.1104,2.3276,1.3816,0.9348,4.152,195.7052,0.0955007838320086,0.090532086015088,0.0720880181006943,0.0449451521983064,"LC",4180.985879,33,"LC","LC"
"185","FRs13",10.38,6.336,3.4996,5.8232,4.1672,4.3724,5.2536,3.568,1.6776,3.9188,397.7656,0.12317907833156,0.0970833073548844,0.0723561816305885,0.036247478414423,"LC",4591.980171,49,"LC","LC"
"186","FRs14",7.64,5.1956,5.0748,6.304,3.4264,2.7184,7.7532,7.0012,3.6092,13.6592,326.5452,0.19103634045149,0.167639885688107,0.136188190792576,0.0980654439262926,"LC",1844.316858,24,"LC","LC"
"187","FRs15",0.3932,0.0748,0,0.0928,0.066,0.12,0.0288,0,0,0.0604,264.244,0.00316374260153494,0.00167572395210487,0.00139265224565175,0.000337566794326456,"LC",1248.264085,20,"LC","LC"
"188","FRs16",5.5372,2.1292,0.1344,0.07,0.146,0.2344,0.3748,0.2048,0.0236,1.0236,1104.1168,0.00894651725252256,0.00393146812003947,0.00188132270064182,0.00147339484373392,"LC",5903.943571,47,"LC","LC"
