"","nlc2022_7class","T_MAPCODE","sum","n"
"814","6","FFd6","0",154
"815","7","FFd6","0",602
"816","NaN","FFd6","0",0
"817","1","FFd7","0",248567
"818","2","FFd7","0",46700
"819","3","FFd7","0",904
"820","4","FFd7","0",5054
"821","5","FFd7","0",254523
"822","6","FFd7","0",159
"823","7","FFd7","0",684
"824","NaN","FFd7","0",0
"825","1","FFd8","0",99114
"826","2","FFd8","0",19368
"827","3","FFd8","0",89163
"828","4","FFd8","0",1717
"829","5","FFd8","0",21718
"830","6","FFd8","0",1342
"831","7","FFd8","0",77
"832","NaN","FFd8","0",0
"833","1","FFd9","0",585515
"834","2","FFd9","0",181756
"835","3","FFd9","0",153
"836","4","FFd9","0",13687
"837","5","FFd9","0",408256
"838","6","FFd9","0",304
"839","7","FFd9","0",1563
"840","NaN","FFd9","0",0
"841","1","FFf1","0",404901
"842","2","FFf1","0",193082
"843","3","FFf1","0",4768
"844","4","FFf1","0",21339
"845","5","FFf1","0",859329
"846","6","FFf1","0",486
"847","7","FFf1","0",6012
"848","NaN","FFf1","0",0
"849","1","FFf2","0",39349
"850","2","FFf2","0",16982
"851","3","FFf2","0",103
"852","4","FFf2","0",351
"853","5","FFf2","0",30072
"854","6","FFf2","0",8
"855","7","FFf2","0",220
"856","NaN","FFf2","0",0
"857","1","FFg1","0",159794
"858","2","FFg1","0",314
"859","3","FFg1","0",0
"860","4","FFg1","0",413
"861","5","FFg1","0",1261
"862","6","FFg1","0",0
"863","7","FFg1","0",0
"864","NaN","FFg1","0",0
"865","1","FFg2","0",511582
"866","2","FFg2","0",152663
"867","3","FFg2","0",21180
"868","4","FFg2","0",95016
"869","5","FFg2","0",211137
"870","6","FFg2","0",257
"871","7","FFg2","0",73777
"872","NaN","FFg2","0",0
"873","1","FFg3","0",70013
"874","2","FFg3","0",17061
"875","3","FFg3","0",204
"876","4","FFg3","0",101623
"877","5","FFg3","0",10255
"878","6","FFg3","0",0
"879","7","FFg3","0",12379
"880","NaN","FFg3","0",0
"881","1","FFg4","0",28804
"882","2","FFg4","0",2268
"883","3","FFg4","0",73
"884","4","FFg4","0",3
"885","5","FFg4","0",4025
"886","6","FFg4","0",0
"887","7","FFg4","0",0
"888","NaN","FFg4","0",0
"889","1","FFg5","0",268632
"890","2","FFg5","0",99992
"891","3","FFg5","0",4368
"892","4","FFg5","0",125774
"893","5","FFg5","0",470434
"894","6","FFg5","0",1631
"895","7","FFg5","0",28475
"896","NaN","FFg5","0",0
"897","1","FFh1","0",489460
"898","2","FFh1","0",156911
"899","3","FFh1","0",28773
"900","4","FFh1","0",8730
"901","5","FFh1","0",368737
"902","6","FFh1","0",81
"903","7","FFh1","0",4053
"904","NaN","FFh1","0",0
"905","1","FFh10","0",627779
"906","2","FFh10","0",4803
"907","3","FFh10","0",45
"908","4","FFh10","0",422
"909","5","FFh10","0",5093
"910","6","FFh10","0",0
"911","7","FFh10","0",683
"912","NaN","FFh10","0",0
"913","1","FFh11","0",11293
"914","2","FFh11","0",2542
"915","3","FFh11","0",34
"916","4","FFh11","0",11929
"917","5","FFh11","0",0
"918","6","FFh11","0",1
"919","7","FFh11","0",1316
"920","NaN","FFh11","0",0
"921","1","FFh2","0",253202
"922","2","FFh2","0",8395
"923","3","FFh2","0",148
"924","4","FFh2","0",101
"925","5","FFh2","0",4484
"926","6","FFh2","0",5
"927","7","FFh2","0",0
"928","NaN","FFh2","0",0
"929","1","FFh3","0",151911
"930","2","FFh3","0",16618
"931","3","FFh3","0",572
"932","4","FFh3","0",561
"933","5","FFh3","0",9089
"934","6","FFh3","0",49
"935","7","FFh3","0",342
"936","NaN","FFh3","0",0
"937","1","FFh4","0",446437
"938","2","FFh4","0",73245
"939","3","FFh4","0",6354
"940","4","FFh4","0",7152
"941","5","FFh4","0",173109
"942","6","FFh4","0",246
"943","7","FFh4","0",4371
"944","NaN","FFh4","0",0
"945","1","FFh5","0",78189
"946","2","FFh5","0",30735
"947","3","FFh5","0",2090
"948","4","FFh5","0",23034
"949","5","FFh5","0",27547
"950","6","FFh5","0",3
"951","7","FFh5","0",18792
"952","NaN","FFh5","0",0
"953","1","FFh6","0",112268
"954","2","FFh6","0",81457
"955","3","FFh6","0",84862
"956","4","FFh6","0",15557
"957","5","FFh6","0",286901
"958","6","FFh6","0",191
"959","7","FFh6","0",17593
"960","NaN","FFh6","0",0
"961","1","FFh7","0",323357
