"","LC","T_MAPCODE","n","km2","um"
"459",3,"AZa2",3161,1.2644,99
"460",4,"AZa2",26258,10.5032,99
"461",5,"AZa2",432943,173.1772,99
"462",6,"AZa2",129,0.0516,99
"463",7,"AZa2",14002,5.6008,99
"464",1,"AZa3",1327459,530.9836,99
"465",2,"AZa3",132360,52.944,99
"466",3,"AZa3",41607,16.6428,99
"467",4,"AZa3",25603,10.2412,99
"468",5,"AZa3",647674,259.0696,99
"469",6,"AZa3",2288,0.9152,99
"470",7,"AZa3",50,0.02,99
"471",1,"AZa4",3121032,1248.4128,99
"472",2,"AZa4",230389,92.1556,99
"473",3,"AZa4",18269,7.3076,99
"474",4,"AZa4",48086,19.2344,99
"475",5,"AZa4",1018395,407.358,99
"476",6,"AZa4",15322,6.1288,99
"477",7,"AZa4",16873,6.7492,99
"478",1,"AZa5",5266620,2106.648,99
"479",2,"AZa5",583030,233.212,99
"480",3,"AZa5",747994,299.1976,99
"481",4,"AZa5",88576,35.4304,99
"482",5,"AZa5",1320750,528.3,99
"483",6,"AZa5",21374,8.5496,99
"484",7,"AZa5",59575,23.83,99
"485",1,"AZa6",715074,286.0296,99
"486",2,"AZa6",124926,49.9704,99
"487",3,"AZa6",17202,6.8808,99
"488",4,"AZa6",118689,47.4756,99
"489",5,"AZa6",626683,250.6732,99
"490",6,"AZa6",1471,0.5884,99
"491",7,"AZa6",29471,11.7884,99
"492",1,"AZa7",2148411,859.3644,99
"493",2,"AZa7",199748,79.8992,99
"494",3,"AZa7",59433,23.7732,99
"495",4,"AZa7",39330,15.732,99
"496",5,"AZa7",709113,283.6452,99
"497",6,"AZa7",4630,1.852,99
"498",7,"AZa7",54674,21.8696,99
"499",NA,"AZa7",1244,0.4976,99
"500",1,"AZd1",793,0.3172,99
"501",2,"AZd1",1448,0.5792,99
"502",3,"AZd1",166,0.0664,99
"503",6,"AZd1",13694,5.4776,99
"504",1,"AZd2",23792,9.5168,99
"505",2,"AZd2",475,0.19,99
"506",3,"AZd2",5,0.002,99
"507",4,"AZd2",69,0.0276,99
"508",6,"AZd2",8699,3.4796,99
"509",1,"AZd3",538043,215.2172,99
"510",2,"AZd3",6028,2.4112,99
"511",3,"AZd3",324,0.1296,99
"512",4,"AZd3",6157,2.4628,99
"513",6,"AZd3",126,0.0504,99
"514",7,"AZd3",5,0.002,99
"515",1,"AZd4",65675,26.27,99
"516",2,"AZd4",2037,0.8148,99
"517",3,"AZd4",31,0.0124,99
"518",4,"AZd4",1723,0.6892,99
"519",6,"AZd4",361,0.1444,99
"520",7,"AZd4",378,0.1512,99
"521",NA,"AZd4",54,0.0216,99
"522",1,"AZi1",3000319,1200.1276,99
"523",2,"AZi1",158397,63.3588,99
"524",3,"AZi1",4862,1.9448,99
"525",4,"AZi1",14207,5.6828,99
"526",5,"AZi1",225274,90.1096,99
"527",6,"AZi1",5154,2.0616,99
"528",7,"AZi1",1549,0.6196,99
"529",1,"AZi3",4786541,1914.6164,99
"530",2,"AZi3",32696,13.0784,99
"531",3,"AZi3",120,0.048,99
"532",4,"AZi3",20592,8.2368,99
"533",5,"AZi3",287,0.1148,99
"534",6,"AZi3",265,0.106,99
"535",7,"AZi3",248,0.0992,99
"536",NA,"AZi3",2209,0.8836,99
"537",1,"AZi5",12037598,4815.0392,99
"538",2,"AZi5",374018,149.6072,99
"539",3,"AZi5",67847,27.1388,99
"540",4,"AZi5",19929,7.9716,99
"541",5,"AZi5",420789,168.3156,99
"542",6,"AZi5",19737,7.8948,99
"543",7,"AZi5",2570,1.028,99
"544",1,"AZi6",11337442,4534.9768,99
"545",2,"AZi6",581220,232.488,99
"546",3,"AZi6",111149,44.4596,99
"547",4,"AZi6",136126,54.4504,99
"548",5,"AZi6",1074802,429.9208,99
"549",6,"AZi6",3456,1.3824,99
"550",7,"AZi6",13145,5.258,99
"551",1,"AZi7",4959149,1983.6596,99
"552",2,"AZi7",228982,91.5928,99
"553",3,"AZi7",15468,6.1872,99
"554",4,"AZi7",11865,4.746,99
"555",5,"AZi7",107505,43.002,99
"556",6,"AZi7",487,0.1948,99
"557",7,"AZi7",1808,0.7232,99
"558",1,"AZi8",359417,143.7668,99
"559",2,"AZi8",99947,39.9788,99
