"","LC","T_MAPCODE","niaps_arc","n","km2"
"350",7,"AZd3",0,5,0.002
"351",1,"AZd4",0,65569,26.2276
"352",2,"AZd4",0,2027,0.8108
"353",3,"AZd4",0,30,0.012
"354",4,"AZd4",0,1721,0.6884
"355",6,"AZd4",0,361,0.1444
"356",7,"AZd4",0,372,0.1488
"357",NA,"AZd4",0,54,0.0216
"358",1,"AZi1",0,2744847,1097.9388
"359",2,"AZi1",0,136932,54.7728
"360",3,"AZi1",0,4765,1.906
"361",4,"AZi1",0,13923,5.5692
"362",5,"AZi1",0,224338,89.7352
"363",6,"AZi1",0,5149,2.0596
"364",7,"AZi1",0,1528,0.6112
"365",1,"AZi3",0,4564325,1825.73
"366",2,"AZi3",0,31288,12.5152
"367",3,"AZi3",0,120,0.048
"368",4,"AZi3",0,19674,7.8696
"369",5,"AZi3",0,287,0.1148
"370",6,"AZi3",0,265,0.106
"371",7,"AZi3",0,248,0.0992
"372",NA,"AZi3",0,2209,0.8836
"373",1,"AZi5",0,11684354,4673.7416
"374",2,"AZi5",0,314975,125.99
"375",3,"AZi5",0,62001,24.8004
"376",4,"AZi5",0,19744,7.8976
"377",5,"AZi5",0,420259,168.1036
"378",6,"AZi5",0,19728,7.8912
"379",7,"AZi5",0,1590,0.636
"380",1,"AZi6",0,10821711,4328.6844
"381",2,"AZi6",0,556355,222.542
"382",3,"AZi6",0,108209,43.2836
"383",4,"AZi6",0,134857,53.9428
"384",5,"AZi6",0,1072999,429.1996
"385",6,"AZi6",0,3451,1.3804
"386",7,"AZi6",0,12250,4.9
"387",1,"AZi7",0,4887384,1954.9536
"388",2,"AZi7",0,215128,86.0512
"389",3,"AZi7",0,15257,6.1028
"390",4,"AZi7",0,11794,4.7176
"391",5,"AZi7",0,107104,42.8416
"392",6,"AZi7",0,487,0.1948
"393",7,"AZi7",0,809,0.3236
"394",1,"AZi8",0,344390,137.756
"395",2,"AZi8",0,98458,39.3832
"396",3,"AZi8",0,3554,1.4216
"397",4,"AZi8",0,26184,10.4736
"398",5,"AZi8",0,525037,210.0148
"399",6,"AZi8",0,255,0.102
"400",7,"AZi8",0,2823,1.1292
"401",1,"AZs3",0,24742,9.8968
"402",2,"AZs3",0,1449,0.5796
"403",3,"AZs3",0,10,0.004
"404",4,"AZs3",0,821,0.3284
"405",5,"AZs3",0,1,4e-04
"406",7,"AZs3",0,199,0.0796
"407",1,"CB1",0,1897256,758.9024
"408",2,"CB1",0,519250,207.7
"409",3,"CB1",0,8821,3.5284
"410",4,"CB1",0,1005934,402.3736
"411",5,"CB1",0,493457,197.3828
"412",6,"CB1",0,28913,11.5652
"413",7,"CB1",0,1578686,631.4744
"414",NA,"CB1",0,110,0.044
"415",1,"CB2",0,961251,384.5004
"416",2,"CB2",0,222510,89.004
"417",3,"CB2",0,309,0.1236
"418",4,"CB2",0,269291,107.7164
"419",5,"CB2",0,27281,10.9124
"420",6,"CB2",0,2595,1.038
"421",7,"CB2",0,1150444,460.1776
"422",1,"CB3",0,993269,397.3076
"423",2,"CB3",0,966538,386.6152
"424",3,"CB3",0,21522,8.6088
"425",4,"CB3",0,3412510,1365.004
"426",5,"CB3",0,3653043,1461.2172
"427",6,"CB3",0,13100,5.24
"428",7,"CB3",0,142493,56.9972
"429",1,"CB4",0,1492775,597.11
"430",2,"CB4",0,455261,182.1044
