"","nlc2022_7class","T_MAPCODE","Band_1","n"
"569","1","Dg3","0",0
"570","2","Dg3","0",0
"571","3","Dg3","0",0
"572","4","Dg3","0",0
"573","5","Dg3","0",0
"574","6","Dg3","0",0
"575","7","Dg3","0",0
"576","NaN","Dg3","0",0
"577","1","Dg4","0",0
"578","2","Dg4","0",0
"579","3","Dg4","0",0
"580","4","Dg4","0",0
"581","5","Dg4","0",0
"582","6","Dg4","0",0
"583","7","Dg4","0",0
"584","NaN","Dg4","0",0
"585","1","Dg5","0",0
"586","2","Dg5","0",0
"587","3","Dg5","0",0
"588","4","Dg5","0",0
"589","5","Dg5","0",0
"590","6","Dg5","0",0
"591","7","Dg5","0",0
"592","NaN","Dg5","0",0
"593","1","Dg6","0",0
"594","2","Dg6","0",0
"595","3","Dg6","0",0
"596","4","Dg6","0",0
"597","5","Dg6","0",0
"598","6","Dg6","0",0
"599","7","Dg6","0",0
"600","NaN","Dg6","0",0
"601","1","Dg7","0",0
"602","2","Dg7","0",0
"603","3","Dg7","0",0
"604","4","Dg7","0",0
"605","5","Dg7","0",0
"606","6","Dg7","0",0
"607","7","Dg7","0",0
"608","NaN","Dg7","0",0
"609","1","Dg8","0",0
"610","2","Dg8","0",0
"611","3","Dg8","0",0
"612","4","Dg8","0",0
"613","5","Dg8","0",0
"614","6","Dg8","0",0
"615","7","Dg8","0",0
"616","NaN","Dg8","0",0
"617","1","Dg9","0",0
"618","2","Dg9","0",0
"619","3","Dg9","0",0
"620","4","Dg9","0",0
"621","5","Dg9","0",0
"622","6","Dg9","0",0
"623","7","Dg9","0",0
"624","NaN","Dg9","0",0
"625","1","Dn1","0",0
"626","2","Dn1","0",0
"627","3","Dn1","0",0
"628","4","Dn1","0",0
"629","5","Dn1","0",0
"630","6","Dn1","0",0
"631","7","Dn1","0",0
"632","NaN","Dn1","0",0
"633","1","Dn2","0",0
"634","2","Dn2","0",0
"635","3","Dn2","0",0
"636","4","Dn2","0",0
"637","5","Dn2","0",0
"638","6","Dn2","0",0
"639","7","Dn2","0",0
"640","NaN","Dn2","0",0
"641","1","Dn3","0",0
"642","2","Dn3","0",0
"643","3","Dn3","0",0
"644","4","Dn3","0",0
"645","5","Dn3","0",0
"646","6","Dn3","0",0
"647","7","Dn3","0",0
"648","NaN","Dn3","0",0
"649","1","Dn4","0",0
"650","2","Dn4","0",0
"651","3","Dn4","0",0
"652","4","Dn4","0",0
"653","5","Dn4","0",0
"654","6","Dn4","0",0
"655","7","Dn4","0",0
"656","NaN","Dn4","0",0
"657","1","Dn5","0",0
"658","2","Dn5","0",0
"659","3","Dn5","0",0
"660","4","Dn5","0",0
"661","5","Dn5","0",0
"662","6","Dn5","0",0
"663","7","Dn5","0",0
"664","NaN","Dn5","0",0
"665","1","FFa1","0",0
"666","2","FFa1","0",0
"667","3","FFa1","0",0
"668","4","FFa1","0",0
"669","5","FFa1","0",0
"670","6","FFa1","0",0
"671","7","FFa1","0",0
"672","NaN","FFa1","0",0
"673","1","FFa2","0",233331
"674","2","FFa2","0",54939
"675","3","FFa2","0",4361
"676","4","FFa2","0",11697
"677","5","FFa2","0",167723
"678","6","FFa2","0",293
"679","7","FFa2","0",6061
"680","NaN","FFa2","0",0
"681","1","FFa3","0",219366
"682","2","FFa3","0",68179
"683","3","FFa3","0",8165
"684","4","FFa3","0",23890
"685","5","FFa3","0",116327
"686","6","FFa3","0",11
"687","7","FFa3","0",8784
"688","NaN","FFa3","0",0
"689","1","FFa4","0",3530
"690","2","FFa4","0",2365
"691","3","FFa4","0",8
"692","4","FFa4","0",611
"693","5","FFa4","0",5526
"694","6","FFa4","0",0
"695","7","FFa4","0",32
"696","NaN","FFa4","0",0
"697","1","FFb1","0",109177
"698","2","FFb1","0",1386
"699","3","FFb1","0",65
"700","4","FFb1","0",126
"701","5","FFb1","0",1687
"702","6","FFb1","0",3
"703","7","FFb1","0",176
"704","NaN","FFb1","0",0
"705","1","FFb2","0",152394
"706","2","FFb2","0",4127
"707","3","FFb2","0",79
"708","4","FFb2","0",27
"709","5","FFb2","0",361
"710","6","FFb2","0",0
"711","7","FFb2","0",456
"712","NaN","FFb2","0",0
"713","1","FFb3","0",0
"714","2","FFb3","0",0
"715","3","FFb3","0",0
"716","4","FFb3","0",0
"717","5","FFb3","0",0
"718","6","FFb3","0",0
"719","7","FFb3","0",0
"720","NaN","FFb3","0",0
"721","1","FFb4","0",62602
"722","2","FFb4","0",36
"723","3","FFb4","0",17
"724","4","FFb4","0",20
"725","5","FFb4","0",10
"726","6","FFb4","0",0
"727","7","FFb4","0",0
"728","NaN","FFb4","0",0
"729","1","FFb5","0",0
"730","2","FFb5","0",0
"731","3","FFb5","0",0
"732","4","FFb5","0",0
"733","5","FFb5","0",0
"734","6","FFb5","0",0
"735","7","FFb5","0",0
"736","NaN","FFb5","0",0
"737","1","FFb6","0",0
"738","2","FFb6","0",0
"739","3","FFb6","0",0
"740","4","FFb6","0",0
"741","5","FFb6","0",0
"742","6","FFb6","0",0
"743","7","FFb6","0",0
"744","NaN","FFb6","0",0
"745","1","FFc1","0",175733
"746","2","FFc1","0",33295
"747","3","FFc1","0",1534
"748","4","FFc1","0",2567
"749","5","FFc1","0",73431
"750","6","FFc1","0",45
"751","7","FFc1","0",11249
"752","NaN","FFc1","0",0
"753","1","FFd1","0",0
"754","2","FFd1","0",0
"755","3","FFd1","0",0
"756","4","FFd1","0",0
"757","5","FFd1","0",0
"758","6","FFd1","0",0
"759","7","FFd1","0",0
"760","NaN","FFd1","0",0
"761","1","FFd10","0",0
"762","2","FFd10","0",0
"763","3","FFd10","0",0
"764","4","FFd10","0",0
"765","5","FFd10","0",0
"766","6","FFd10","0",0
"767","7","FFd10","0",0
"768","NaN","FFd10","0",0
"769","1","FFd11","0",0
"770","2","FFd11","0",0
"771","3","FFd11","0",0
"772","4","FFd11","0",0
"773","5","FFd11","0",0
"774","6","FFd11","0",0
"775","7","FFd11","0",0
"776","NaN","FFd11","0",0
"777","1","FFd2","0",9290
"778","2","FFd2","0",2061
"779","3","FFd2","0",41
"780","4","FFd2","0",67
"781","5","FFd2","0",9777
"782","6","FFd2","0",1
"783","7","FFd2","0",0
"784","NaN","FFd2","0",0
"785","1","FFd3","0",1208820
"786","2","FFd3","0",165788
"787","3","FFd3","0",1089
"788","4","FFd3","0",8387
"789","5","FFd3","0",100318
"790","6","FFd3","0",116
"791","7","FFd3","0",479
"792","NaN","FFd3","0",0
"793","1","FFd4","0",552234
"794","2","FFd4","0",152113
"795","3","FFd4","0",686
"796","4","FFd4","0",11501
"797","5","FFd4","0",71499
"798","6","FFd4","0",1144
"799","7","FFd4","0",2294
"800","NaN","FFd4","0",0
"801","1","FFd5","0",47310
"802","2","FFd5","0",18417
"803","3","FFd5","0",354
"804","4","FFd5","0",50460
"805","5","FFd5","0",7415
"806","6","FFd5","0",843
"807","7","FFd5","0",1922
"808","NaN","FFd5","0",0
"809","1","FFd6","0",33966
"810","2","FFd6","0",2377
"811","3","FFd6","0",27
"812","4","FFd6","0",6844
"813","5","FFd6","0",123
"814","6","FFd6","0",15
"815","7","FFd6","0",154
"816","NaN","FFd6","0",0
"817","1","FFd7","0",0
"818","2","FFd7","0",0
"819","3","FFd7","0",0
"820","4","FFd7","0",0
"821","5","FFd7","0",0
"822","6","FFd7","0",0
"823","7","FFd7","0",0
"824","NaN","FFd7","0",0
"825","1","FFd8","0",29798
"826","2","FFd8","0",6322
"827","3","FFd8","0",779
"828","4","FFd8","0",301
"829","5","FFd8","0",10645
"830","6","FFd8","0",99
"831","7","FFd8","0",137
"832","NaN","FFd8","0",0
"833","1","FFd9","0",16094
"834","2","FFd9","0",640
"835","3","FFd9","0",0
"836","4","FFd9","0",17
"837","5","FFd9","0",1357
"838","6","FFd9","0",0
"839","7","FFd9","0",39
"840","NaN","FFd9","0",0
"841","1","FFf1","0",0
"842","2","FFf1","0",0
"843","3","FFf1","0",0
"844","4","FFf1","0",0
"845","5","FFf1","0",0
"846","6","FFf1","0",0
"847","7","FFf1","0",0
"848","NaN","FFf1","0",0
"849","1","FFf2","0",25679
"850","2","FFf2","0",8280
"851","3","FFf2","0",21
"852","4","FFf2","0",124
"853","5","FFf2","0",5718
"854","6","FFf2","0",0
"855","7","FFf2","0",107
"856","NaN","FFf2","0",0
"857","1","FFg1","0",0
"858","2","FFg1","0",0
"859","3","FFg1","0",0
"860","4","FFg1","0",0
"861","5","FFg1","0",0
"862","6","FFg1","0",0
"863","7","FFg1","0",0
"864","NaN","FFg1","0",0
"865","1","FFg2","0",451438
"866","2","FFg2","0",77933
"867","3","FFg2","0",11429
"868","4","FFg2","0",12384
"869","5","FFg2","0",46268
"870","6","FFg2","0",145
"871","7","FFg2","0",39977
"872","NaN","FFg2","0",0
"873","1","FFg3","0",60276
"874","2","FFg3","0",12989
"875","3","FFg3","0",149
"876","4","FFg3","0",17692
"877","5","FFg3","0",3763
"878","6","FFg3","0",0
"879","7","FFg3","0",16673
"880","NaN","FFg3","0",0
"881","1","FFg4","0",25152
"882","2","FFg4","0",790
"883","3","FFg4","0",60
"884","4","FFg4","0",0
"885","5","FFg4","0",614
"886","6","FFg4","0",0
"887","7","FFg4","0",0
"888","NaN","FFg4","0",0
"889","1","FFg5","0",0
"890","2","FFg5","0",0
"891","3","FFg5","0",0
"892","4","FFg5","0",0
"893","5","FFg5","0",0
"894","6","FFg5","0",0
"895","7","FFg5","0",0
"896","NaN","FFg5","0",0
"897","1","FFh1","0",110567
"898","2","FFh1","0",15610
"899","3","FFh1","0",2321
"900","4","FFh1","0",813
"901","5","FFh1","0",31671
"902","6","FFh1","0",7
"903","7","FFh1","0",404
"904","NaN","FFh1","0",0
"905","1","FFh10","0",0
"906","2","FFh10","0",0
"907","3","FFh10","0",0
"908","4","FFh10","0",0
"909","5","FFh10","0",0
"910","6","FFh10","0",0
"911","7","FFh10","0",0
"912","NaN","FFh10","0",0
"913","1","FFh11","0",12844
"914","2","FFh11","0",2550
"915","3","FFh11","0",28
"916","4","FFh11","0",2119
"917","5","FFh11","0",0
"918","6","FFh11","0",1
"919","7","FFh11","0",2223
"920","NaN","FFh11","0",0
"921","1","FFh2","0",0
"922","2","FFh2","0",0
"923","3","FFh2","0",0
"924","4","FFh2","0",0
"925","5","FFh2","0",0
"926","6","FFh2","0",0
"927","7","FFh2","0",0
"928","NaN","FFh2","0",0
"929","1","FFh3","0",0
"930","2","FFh3","0",0
"931","3","FFh3","0",0
"932","4","FFh3","0",0
"933","5","FFh3","0",0
"934","6","FFh3","0",0
"935","7","FFh3","0",0
"936","NaN","FFh3","0",0
"937","1","FFh4","0",348620
"938","2","FFh4","0",41103
"939","3","FFh4","0",3301
"940","4","FFh4","0",2682
"941","5","FFh4","0",66794
"942","6","FFh4","0",70
"943","7","FFh4","0",7224
"944","NaN","FFh4","0",0
"945","1","FFh5","0",29605
"946","2","FFh5","0",9745
"947","3","FFh5","0",194
"948","4","FFh5","0",1087
"949","5","FFh5","0",4754
"950","6","FFh5","0",0
"951","7","FFh5","0",5821
"952","NaN","FFh5","0",0
"953","1","FFh6","0",56168
"954","2","FFh6","0",18972
"955","3","FFh6","0",62973
"956","4","FFh6","0",1056
"957","5","FFh6","0",16927
"958","6","FFh6","0",0
"959","7","FFh6","0",3683
"960","NaN","FFh6","0",0
"961","1","FFh7","0",285087
"962","2","FFh7","0",25759
"963","3","FFh7","0",749
"964","4","FFh7","0",5693
"965","5","FFh7","0",76474
"966","6","FFh7","0",8
"967","7","FFh7","0",3397
"968","NaN","FFh7","0",0
"969","1","FFh8","0",37559
"970","2","FFh8","0",9602
"971","3","FFh8","0",111
"972","4","FFh8","0",176
"973","5","FFh8","0",4432
"974","6","FFh8","0",0
"975","7","FFh8","0",134
"976","NaN","FFh8","0",0
"977","1","FFh9","0",0
"978","2","FFh9","0",0
"979","3","FFh9","0",0
"980","4","FFh9","0",0
"981","5","FFh9","0",0
"982","6","FFh9","0",0
"983","7","FFh9","0",0
"984","NaN","FFh9","0",0
"985","1","FFl1","0",0
"986","2","FFl1","0",0
"987","3","FFl1","0",0
"988","4","FFl1","0",0
"989","5","FFl1","0",0
"990","6","FFl1","0",0
"991","7","FFl1","0",0
"992","NaN","FFl1","0",0
"993","1","FFl2","0",2768
"994","2","FFl2","0",0
