"","T_MAPCODE","lc_1","lc_2","lc_3","lc_4","lc_5","lc_6","lc_7","lc_8","ext_tot","ext_rem","prc_inv","EOO","AOO","B1i_inv","B2i_inv","D1_inv","D3_inv"
"389","SVcb24",590.0596,33.0848,0.36,19.3944,13.5648,0.5792,3.21,6.6572,666.91,596.7168,1,6744.264469,40,"LC","LC","LC","LC"
"390","SVcb25",822.5048,19.1644,0.0468,24.3148,22.7796,0.474,0.5672,1.4724,891.324,823.9772,0,5826.595785,37,"LC","LC","LC","LC"
"391","SVcb26",1735.6736,62.144,1.112,70.8912,111.4144,1.0488,5.5412,12.1916,2000.0168,1747.8652,1,8376.351591,57,"LC","LC","LC","LC"
"392","SVcb27",1209.8788,344.934,3.7644,433.1236,498.5896,32.228,0.0904,0.2252,2522.834,1210.104,0,4653.161972,50,"LC","LC","LC","LC"
"393","SVcb28",1809.668,126.632,20.946,144.0328,185.6092,29.02,0.048,0.1888,2316.1448,1809.8568,0,6059.762359,51,"LC","LC","LC","LC"
"394","SVcb29",373.6608,7.424,0.362,2.8868,3.3612,0.3196,0.1624,0,388.1768,373.6608,0,3340.106969,22,"LC","LC","LC","LC"
"395","SVcb3",886,183.6424,14.4696,89.7212,149.2352,0.9444,4.4232,3.586,1332.022,889.586,0,5638.601945,48,"LC","LC","LC","LC"
"396","SVcb4",3649.8324,198.9152,7.8288,62.6452,147.6316,9.7944,33.7836,12.0392,4122.4704,3661.8716,0,21020.56572,142,"LC","LC","LC","LC"
"397","SVcb5",359.8116,3.5572,0.0684,3.6388,0,0.0004,0.0272,0,367.1036,359.8116,0,564.4748924,9,"LC","LC","LC","LC"
"398","SVcb6",702.168,570.6208,27.1304,514.8676,360.3828,76.6764,26.4404,6.8116,2285.098,708.9796,1,6427.25622,50,"LC","LC","LC","LC"
"399","SVcb7",360.9248,38.2276,2.2796,60.828,12.1616,16.0704,0.8104,0.026,491.3284,360.9508,0,3265.492873,31,"LC","LC","LC","LC"
"400","SVcb8",836.2832,300.1768,26.1784,244.464,335.3724,19.8024,64.0376,7.0788,1833.3936,843.362,1,8118.074289,64,"LC","LC","LC","LC"
"401","SVcb9",2561.0888,168.5156,5.2632,130.3192,151.9024,4.9004,50.6184,31.924,3104.532,2593.0128,1,36063.97631,134,"LC","LC","LC","LC"
"402","SVk1",12001.8444,1210.3804,0.6452,93.756,2115.7684,1.5416,7.2684,0.1264,15431.3308,12001.9708,0,31903.22462,229,"LC","LC","LC","LC"
"403","SVk10",5538.5864,115.444,0.7488,50.8052,93.946,36.504,1.858,1.098,5838.9904,5539.6844,0,64698.61384,222,"LC","LC","LC","LC"
"404","SVk11",13624.3908,187.6952,0.5972,56.8428,23.614,2.6504,1.2836,0.29,13897.364,13624.6808,0,22885.46613,192,"LC","LC","LC","LC"
"405","SVk12",7252.688,75.6032,1.3188,39.9628,1.5608,81.35,0.0912,0,7452.5748,7252.688,0,12608.7486,116,"LC","LC","LC","LC"
"406","SVk13",8397.928,53.5316,2.5276,24.9584,11.65,15.284,0.488,11.3272,8517.6948,8409.2552,0,20772.29101,178,"LC","LC","LC","LC"
"407","SVk14",880.634,18.0532,0.528,4.1236,1.1664,24.4692,0.0612,0.1884,929.224,880.8224,0,1543.554548,22,"LC","LC","LC","LC"
"408","SVk15",1616.6608,2.2976,0.188,1.0432,0,0.1012,0,0.554,1620.8448,1617.2148,0,12263.05505,82,"LC","LC","LC","LC"
"409","SVk16",7901.0464,9.2664,0.0152,3.4664,0.0104,0.0692,0,4.7188,7918.5928,7905.7652,0,42443.89966,151,"LC","LC","LC","LC"
